created_at,full_text,retweet_count,favorite_count,screen_name
Wed Jan 05 08:28:22 +0000 2022,RT @Benioff: Every American deserves free rapid tests &amp; free n95 masks now. The lack of tests after 2 years of pandemic is simply unforgiva…,524,0,Benioff
Wed Jan 05 05:14:18 +0000 2022,Every American deserves free rapid tests &amp; free n95 masks now. The lack of tests after 2 years of pandemic is simply unforgivable. Our government needs to step in &amp; step up production of these critical tools in keeping everyone safe.  ❤️🇺🇸,524,4438,Benioff
Wed Jan 05 03:15:05 +0000 2022,"RT @Benioff: Leah @LeahBMH wants you to know one thing about her: She is a hugger. If you just met, she’ll give you a hug. If you are a Sal…",15,0,Benioff
Tue Jan 04 19:30:01 +0000 2022,RT @Benioff: Together we will plant 1 Trillion Trees sequestering over 200 gigatons of carbon in 10 years. We must be carbon negative &amp; seq…,125,0,Benioff
Tue Jan 04 19:20:16 +0000 2022,"Leah @LeahBMH wants you to know one thing about her: She is a hugger. If you just met, she’ll give you a hug. If you are a Salesforce client, she’ll give you a hug. If you are considering signing up for Salesforce’s services then you, too, are in for a hug.https://t.co/4yZE0i70UB",15,122,Benioff
Tue Jan 04 18:49:43 +0000 2022,RT @CBSMornings: “We do not need to be using the PCR test because it’s so sensitive”: Epidemiologist @michaelmina_lab shares why he believe…,85,0,Benioff
Mon Jan 03 05:48:13 +0000 2022,RT @Benioff: Dr. @larrybrilliant says to @TheTomGeorge he wants to see all visitors to Hawaii tested on arrival regardless of vaccination s…,16,0,Benioff
Mon Jan 03 05:11:53 +0000 2022,RT @BharatKrish: My first NFT of 2022 is this amazing photo from the amazing @JohnKnopfPhotos.  Thank you for supporting us at @timepieces…,4,0,Benioff
Mon Jan 03 03:33:04 +0000 2022,Dr. @larrybrilliant says to @TheTomGeorge he wants to see all visitors to Hawaii tested on arrival regardless of vaccination status. I am very much a pro-tester too.  👍 https://t.co/et4i64NNm3,16,80,Benioff
Mon Jan 03 03:28:44 +0000 2022,RT @Benioff: #savesoil #sevasoil @1t_org @loambio @TF_Global @WEFUpLink @NCX @FriendsofOcean @UCSBenioffOcean ❤️🌎🎄,45,0,Benioff
Sun Jan 02 21:26:17 +0000 2022,"RT @georgeorrwhite: @TheTomGeorge @larrybrilliant @WHO @KITV4 .@LtGovJoshGreen said [un]SafeTravels can (should) be modified w/in 72 hours,…",2,0,Benioff
Sun Jan 02 21:25:00 +0000 2022,RT @TheTomGeorge: Global epidemiologist Dr. @LarryBrilliant was part of @WHO team that helped eradicate smallpox - He says #Hawaii isn't do…,33,0,Benioff
Sun Jan 02 06:43:44 +0000 2022,❤️@robotosNFT 🤖 https://t.co/LOaqIEJpDs,3,40,Benioff
Sun Jan 02 06:42:47 +0000 2022,"RT @crypto_whippet: - Robotos is being developed for TV by Time Magazine's film and TV production studio
-Launched in 2020, they have been…",81,0,Benioff
Sun Jan 02 06:42:14 +0000 2022,RT @TIME: Electric cars can sound like anything. That's a huge opportunity to craft the soundscape of the future https://t.co/q6vCdOtSH6 ht…,53,0,Benioff
Sun Jan 02 03:35:00 +0000 2022,#savesoil #sevasoil @1t_org @loambio @TF_Global @WEFUpLink @NCX @FriendsofOcean @UCSBenioffOcean ❤️🌎🎄 https://t.co/WdKceFbKGp,45,127,Benioff
Sat Jan 01 18:50:17 +0000 2022,RT @Benioff: Looking Forward to 2022! ❤️ https://t.co/3W4yiWeDbY,27,0,Benioff
Sat Jan 01 08:49:10 +0000 2022,"RT @TIME: ""We need to see ourselves before we can be redeemed."" Bono writes about the lessons he learned from his friend Archbishop Desmond…",168,0,Benioff
Sat Jan 01 03:11:19 +0000 2022,"RT @GlblCtzn: L’chaim 🥳 Anyone else blasting @bep’s “I Gotta Feeling” to ring in the new year?! 

This past year, people around the world c…",19,0,Benioff
Sat Jan 01 02:56:10 +0000 2022,RT @sampjacobs: It's the junkies! Wise @coverjunkie picks @Time for Smartest Cover of 2021 and Best Cover Sequence Ever. Cheers to @dwpine…,13,0,Benioff
Sat Jan 01 02:50:58 +0000 2022,RT @MrAhmednurAli: This clip of Betty White with Ryan Reynolds lives rent free in my head. https://t.co/82SpPWH3Nq,62780,0,Benioff
Sat Jan 01 02:20:42 +0000 2022,Looking Forward to 2022! ❤️ https://t.co/3W4yiWeDbY,27,152,Benioff
Sat Jan 01 02:18:16 +0000 2022,"RT @YoshikiOfficial: アメリカが大変、今のところ日本は頑張ってる
Praying for everyone's health😷

#YOSHIKI

RT@Benioff Yoshiki, Hawaii had 3400 COVID cases today.…",501,0,Benioff
Sat Jan 01 01:13:25 +0000 2022,RT @Benioff: Its Omicron lad by a nose. Happy New Year. ❤️ https://t.co/xk5ZUEuBEa,26,0,Benioff
Fri Dec 31 23:13:56 +0000 2021,Its Omicron lad by a nose. Happy New Year. ❤️ https://t.co/xk5ZUEuBEa,26,120,Benioff
Fri Dec 31 22:21:44 +0000 2021,"RT @Benioff: Yoshiki, Hawaii had 3400 COVID cases today. Our Ohana are very very sick. Japan had 300 cases &amp; has 100x more people. Japan ha…",23,0,Benioff
Fri Dec 31 21:00:21 +0000 2021,RT @Benioff: Hau’oli Makahiki Hou! Happy New Year! May all of my friends &amp; my Ohana have a healthy &amp; peaceful &amp; happy &amp; successful 2022! Ma…,28,0,Benioff
Fri Dec 31 20:28:25 +0000 2021,RT @ThomsonFiji: I close the year with a photo of 2 of my granddaughters swimming this week in the blue Pacific. Long may the Ocean protect…,14,0,Benioff
Fri Dec 31 20:28:10 +0000 2021,"RT @TIME: Breaking: Betty White has died at 99. Here's how ""The Golden Girls"" transformed her from star to legend https://t.co/Uhfcb4RkTO",970,0,Benioff
Fri Dec 31 19:44:23 +0000 2021,"Hau’oli Makahiki Hou! Happy New Year! May all of my friends &amp; my Ohana have a healthy &amp; peaceful &amp; happy &amp; successful 2022! May this year be the year where we take great care of ourselves, our families, our friends, our businesses, our communities, and also our planet. ❤️🌎 https://t.co/wmdXdfZbST",28,354,Benioff
Fri Dec 31 19:38:01 +0000 2021,"The Lessons I Learned From Desmond by Bono. “One of the first things I had to learn from him was just to listen. This, it turns out, takes a serious resolve for someone like me—someone with a big mouth &amp; a foot the size of it.” Inspiring start to 2022! ❤️ https://t.co/DAMdCgDds7",3,36,Benioff
Fri Dec 31 09:15:29 +0000 2021,RT @therealerevans: the CDC says if we all do the hokie pokie we can turn this thing around,38393,0,Benioff
Fri Dec 31 08:27:15 +0000 2021,RT @Benioff: Tonight I am thinking of my friends &amp; my Ohana who are impacted by the terrible fires in the Boulder Colorado areas.  The imag…,41,0,Benioff
Fri Dec 31 03:28:22 +0000 2021,Tonight I am thinking of my friends &amp; my Ohana who are impacted by the terrible fires in the Boulder Colorado areas.  The images are horribly sad &amp; frightening. May the one who brings peace bring peace to our beloved Colorado and its wonderful people. ❤️ https://t.co/VltZe6RFdl,41,478,Benioff
